test,value,tol,pass
TP_amp_damp,4.440892098500626e-16,1e-10,True
TP_dephase,5.551115123125783e-16,1e-10,True
TP_depol,6.661338147750939e-16,1e-10,True
TP_x_err,7.771561172376096e-16,1e-10,True
TP_inhom_dephase,4.440892098500626e-16,1e-10,True
TP_site_amp_damp,3.3306690738754696e-16,1e-10,True
TP_biased_pauli,7.771561172376096e-16,1e-10,True
TP_coh_diss_mix,2.220446049250313e-16,1e-10,True
TP_corr_dephase,2.220446049250313e-16,1e-10,True
sector_preservation,0.0,1e-10,True
frame_invariance,1.7080097607412653e-15,1e-08,True
bound_amp_damp,1.1102230246251565e-16,1e-08,True
bound_dephase,0.0,1e-08,True
bound_depol,0.0,1e-08,True
bound_x_err,0.0,1e-08,True
bound_inhom_dephase,0.0,1e-08,True
bound_site_amp_damp,0.0,1e-08,True
bound_biased_pauli,0.0,1e-08,True
bound_coh_diss_mix,1.1102230246251565e-16,1e-08,True
bound_corr_dephase,0.0,1e-08,True
corr_within_edge_rate,0.0,1e-08,True
corr_cross_edge_rate,0.003999999999889425,0.05,True
