channel,gamma_probe,lambda_coh
amp_damp,0.01,1.0000000000000009
amp_damp,0.001,0.9999999999998899
amp_damp,0.0001,0.9999999999998899
amp_damp,1e-05,0.9999999999954489
dephase,0.01,3.959999999999997
dephase,0.001,3.9959999999998885
dephase,0.0001,3.99959999999977
dephase,1e-05,3.999959999989588
depol,0.01,6.4786066112718865
depol,0.001,6.647586339771916
depol,0.0001,6.664755863673433
depol,1e-05,6.666475558603223
x_err,0.01,7.734945358701992
x_err,0.001,7.973049945035248
x_err,0.0001,7.997300499944361
x_err,1e-05,7.999730004969269
