channel,ell,q,lambda_resp,lambda_fd_extrap,h2e-05,h5e-05,h0.0001,abs_err,rel_err,bootstrap_B,status
dephase,2,0,7.991999999998505,7.999999401389962,7.998880089607473,7.997200560011519,7.994402239439036,0.007999401391456828,0.001000926100032323,1000,contractive
dephase,3,7,7.778017943102538,7.785803216733787,7.784754655140723,7.783181314997556,7.7805598745939175,0.0077852736312493676,0.0010009328453855347,1000,contractive
dephase,2,7,7.778017943102537,7.785803216651032,7.784754655057457,7.783181314984233,7.780559874584481,0.00778527354849512,0.0010009328347460316,1000,contractive
dephase,3,0,7.778017943102538,7.7858032167092395,7.784754655118519,7.783181314997556,7.780559874601134,0.007785273606701892,0.0010009328422295283,1000,contractive
dephase,2,1,9.35901690714469,9.368384166430733,9.36677543419695,9.364361278941802,9.360339371022874,0.00936725928604254,0.0010008806885359461,1000,contractive
dephase,1,1,9.359016907144872,9.368384166270294,9.366775434069273,9.36436127888185,9.360339371046189,0.009367259125422578,0.0010008806713738719,1000,contractive
dephase,1,0,9.359016907144872,9.368384166236671,9.366775434066499,9.364361278819677,9.360339371053405,0.009367259091799696,0.0010008806677813064,1000,contractive
dephase,2,2,8.552524357290947,,,,,,,1000,contractive
dephase,3,1,-0.6405005307710294,,,,,,,1000,contractive
corr_dephase,2,0,8.032060287159057,8.040099765168533,8.03894897721813,8.037222210869333,8.034345198230652,0.008039478009475687,0.0010009235142729802,1000,contractive
corr_dephase,3,7,7.992000000000191,7.99999940141045,7.998880089654658,7.997200559960449,7.994402239444587,0.007999401410258677,0.0010009261023846954,1000,contractive
corr_dephase,2,7,7.992000000000191,7.999999401371247,7.998880089629678,7.997200559926032,7.994402239443477,0.007999401371056258,0.0010009260974794879,1000,contractive
corr_dephase,3,0,7.992000000000191,7.999999401420611,7.998880089674087,7.997200559942685,7.994402239446252,0.007999401420420327,0.0010009261036561731,1000,contractive
corr_dephase,2,1,2.7340338142935434,2.7367704762967633,2.7365072916951667,2.736112412584646,2.7354544436020145,0.0027366620032198696,0.0010009612861818264,1000,contractive
corr_dephase,1,1,2.7340338142935434,2.7367704764091108,2.7365072918228424,2.736112412575764,2.735454443619778,0.0027366621155673343,0.0010009613272740263,1000,contractive
corr_dephase,1,0,2.7340338142935434,2.7367704764324987,2.7365072918478224,2.7361124125790948,2.735454443625329,0.0027366621389552925,0.0010009613358284042,1000,contractive
corr_dephase,2,2,7.992000000000052,,,,,,,1000,contractive
corr_dephase,3,1,-0.5886556627881477,,,,,,,1000,contractive
