setting,channel,ell,q,n_theta,lambda_resp,lambda_fd_extrap,abs_err,rel_err,status,delta_init_used
baseline,dephase,2,1,20,7.991999999998966,7.994402239420162,0.002402239421195773,0.0003005805081576682,contractive,0.05
baseline,amp_damp,2,1,20,2.999999999999828,2.9992501000009053,0.0007498999989228317,0.00024996666630762486,contractive,0.05
width_0.02,dephase,2,0,20,7.991999999998555,7.994402239653309,0.002402239654753835,0.0003005805373816653,contractive,0.02
width_0.02,amp_damp,2,0,20,2.99999999999982,2.999250100020334,0.0007498999794859351,0.00024996665982866004,contractive,0.02
width_0.1,dephase,2,1,20,7.991999999998642,7.994402239425158,0.002402239426515962,0.0003005805088233696,contractive,0.1
width_0.1,amp_damp,2,1,20,2.9999999999998277,2.999250099984807,0.0007499000150206214,0.00024996667167355484,contractive,0.1
background_43,dephase,1,0,20,7.99199999999756,7.994402239429599,0.0024022394320386553,0.000300580509514438,contractive,0.05
background_43,amp_damp,1,0,20,2.9999999999997975,2.999250099984252,0.0007499000155455349,0.0002499666718485285,contractive,0.05
readout_site_2_spread,dephase,1,2,20,7.381905655467539,7.3844719407450965,0.002566285277557867,0.0003476453638576514,contractive,0.05
readout_site_2_spread,amp_damp,1,2,20,2.9999999999997358,2.9992500999959093,0.0007499000038264647,0.0002499666679421769,contractive,0.05
